Nome: João Morcao; NIF: 123456789; Genero: M; Contacto: 912345678
Nome: Maria Santos; NIF: 987654321; Genero: F; Contacto: 912345679
Nome: Pedro Oliveira; NIF: 112233445; Genero: M; Contacto: 912345680
Nome: Ana Costa; NIF: 556677890; Genero: F; Contacto: 912345681
Nome: Rui Pereira; NIF: 223344557; Genero: M; Contacto: 912345682
Nome: Sofia Almeida; NIF: 667788991; Genero: F; Contacto: 912345683
Nome: Laura Barbosa; NIF: 334455668; Genero: M; Contacto: 912345684
Nome: Tiago Nogueira; NIF: 778899002; Genero: F; Contacto: 912345685
Nome: Inês Ferreira; NIF: 445566779; Genero: M; Contacto: 912345686
Nome: Miguel Rocha; NIF: 889900113; Genero: F; Contacto: 912345687
Nome: Núria Abreu; NIF: 556677891; Genero: M; Contacto: 912345688
Nome: Ângelo Vieira; NIF: 223344558; Genero: F; Contacto: 912345689
Nome: António Matias; NIF: 667788992; Genero: M; Contacto: 912345690
Nome: Núria-Patrícia Nascimento; NIF: 334455669; Genero: F; Contacto: 912345691
Nome: Pilar Alves-Borges; NIF: 778899003; Genero: M; Contacto: 912345692
Nome: Amélia Pereira; NIF: 445566780; Genero: F; Contacto: 912345693
Nome: Kévim Lopes; NIF: 889900114; Genero: M; Contacto: 912345694
Nome: Salvador Almeida; NIF: 556677892; Genero: F; Contacto: 912345695
Nome: Francisco Cardoso; NIF: 223344559; Genero: M; Contacto: 912345696
Nome: 1; NIF: 1; Genero: M; Contacto: 1
Nome: 2; NIF: 2; Genero: M; Contacto: 2
Nome: 1234; NIF: 1234; Genero: M; Contacto: 1234
Nome: 12345; NIF: 12345; Genero: M; Contacto: 12345
